tw_id,text,location,long,lat
972282461689450496,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",,,
972282402696548352,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?","Ann Arbor, MI",,
972281481048424448,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",Earth,,
972281308880822275,"RT @KPbewelldoc: ??#Influenza B is still hitting hard especially #school-age #kids.
Keep them at home till 24 hrs after they no longer have?","Rosario, Argentina",,
972281240043839488,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",,,
972281171483783169,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",,,
972280962557104128,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",,,
972280958320893952,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",,,
972280026082234368,"RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it?",,,
972279524669968384,"In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere? https://t.co/pQe6CutOwc","San Francisco, California",,
972278217561329669,"@WitchMisplaced &gt; breath. The breeze is still a bit chilly, but it doesn't matter much now that I feel the subtle f? https://t.co/X4xCLYkOgO","San Francisco, CA",,
972272669906255873,"That #Hillbilly Fever is going round, thx to this great tune by #BlueGrass #Legends #StringBean.? https://t.co/RI7nl8RFWW",Freedom,,
972270992935587840,Who?s got Spring Fever? We?re ready for your 2018 gardens!,"Vacaville, CA",,
972270723975733248,Crypto Fever: An Explainer Cryptocurrency Guide for Beginners @latinageeks https://t.co/y3g788T9nY,"San Francisco, CA",,
972265056082841603,"Why Lassa, an Ebola-like fever, has exploded in?Nigeria https://t.co/b51AR0BU2F","San Francisco, CA",,
972261865962311682,How WhatsApp Could Worsen Brazil?s Yellow Fever?Outbreak https://t.co/Jecs027mac,"San Francisco, CA",,
972247464517316608,"@KiksieDB Olympic fetishization. Its a fever hitting all of Japan.

Also they just wanna get kids into fighting ear? https://t.co/WhBALBH2Y1","San Francisco, CA",,
972244481213915136,I got a fever! And the only cure...is MORE TAMBOURINE #Carmen #Aragonaise @ The Mill SF https://t.co/cv0W9AAqDT,"San Francisco, CA",,
972239287579127808,Yesterday was stressful and long and exhausting. But I've gotten lots of good news today and the wife is already ge? https://t.co/itYvkRydob,"Manteca, CA",,
972231470159810565,RT @Crunchyroll: anime,,,
972221376420495361,My own baby gives me baby fever lmao,,,
972220717507821568,RT @VuduFans: Pitches be crazy. But they sound aca-awesome. https://t.co/uDktUsekyo Watch @PitchPerfect 3 on #Vudu today! https://t.co/5Cu5?,,,
972215124986544128,It's like a fever dream I once had. https://t.co/45ptdXFvaB,"Folsom, CA",,
972211533273907201,Kinda have had baby fever recently.. and it?s weird to know that in a few short months the mood around that behavio? https://t.co/w6ZZzDR7Bk,"Rohnert Park, CA",,
972211093706690560,I got jungle fever.??,"Stockton, CA",,
972208688227287040,Book Review: High Voltage: A #Fever Novel Book 10 by Karen Marie Moning https://t.co/fMSlgcgXNK #book10 #bookreviews,Sunnyvale CA,,
972208377798443008,"@roykesey @PointReyesBooks I don?t know if the judges are allowed to bet, but maybe @meaghano wants to join in on the Fever Dream bet? ?","San Francisco, CA",,
972206710713659393,How WhatsApp Could Worsen Brazil?s Yellow Fever Outbreak https://t.co/ifMC0dYpY9,"San Jose, CA",,
972205432730038272,RT @VuduFans: Pitches be crazy. But they sound aca-awesome. https://t.co/uDktUsekyo Watch @PitchPerfect 3 on #Vudu today! https://t.co/5Cu5?,,,
972204287144083456,Fml now I have baby fever! ?? @kivone23 https://t.co/Ym59t5zByc,Stockton CA.,,
972202884896051202,12:06pm low grades and high fever - linda laine - relections(rpm),"Berkeley, CA",,
972202718084308992,"RT @thespirit_riley: New goal: get Fever Rising to the top 100 Kindle spot! Please, pre-order a copy and share with friends! #dystopian #no?","San Diego, CA",,
972201941647351808,RT @Imma_Gii: I have puppy fever ? but I know I need to wait till I graduate,Bay Area,,
972201769475297280,RT @Imma_Gii: I have puppy fever ? but I know I need to wait till I graduate,"bay area, ca",,
972196023757037568,I have a fever ??,"Fremont, CA",,
972195133574692864,@sunstar007 Never really went away and became worse last night with a fever ?,Cupertino,,
972192056377356288,https://t.co/drfyfX7THs Diverticulitis or Celiac Flare: IMHO you are dealing with a glutening. Diverticulitis would? https://t.co/Utde3b7qyP,"Santa Rosa, California, USA",,
972188721876316160,@AvasMamii Annnnddddddd baby fever is gone ?,"Atwater, CA",,
972187141470961665,Reminiscing on a wonderful #WOPN2018 has our Wanderlust fever Friday in full effect! See you next year!? https://t.co/Cm4j4t1U1B,Napa Valley,,
972186791120748544,?Now's The Only Time I Know - Fever Ray? https://t.co/i16zLnntzW,"Santa Rosa, CA",,
972186238399762433,"Temperature is back to normal today, LOTS of sweating overnight...hoping the fever kicked whatever was making me feel off.","Sacramento, CA",,
972185358304665600,Johnny Fever. Magician. https://t.co/gsfQP2IzDz via @YouTube,"Alameda, CA",,
