tw_id,text,location,long,lat
972332644057755648,"Guns are a virus, get rid of them all. https://t.co/FAwMTqU5Uv","Sunnyvale, CA",,
972326810233880576,"This stomach virus is gonna have to fuck off, Man U vs Liverpool is tomorrow morning.","Sacramento, CA",,
972321771918684161,@MarcyGaile Oh wow! So happy you're feeling better bb! It's the curse of a dormant chicken pox virus in the spine apparently.,Everywhere that you're not. ,,
972315942599315457,writesbym : From Robot Design Automation to Life Design Automation - https://t.co/RKkiXmyFBo Preventing The Mers Vi? https://t.co/lMktZ00Syq,"San Francisco, CA",,
972314132585181187,"Thank you from the bottom of my heart.....trump is a malignant virus infecting the bottom feeders, inciting their c? https://t.co/I9FwgnmDaw","San Francisco, CA",,
972281691275395075,"RT @MicrobiomDigest: Bacteria-hunting virus fished from Connecticut lake treats infected doctor
#phages
https://t.co/j1WqmjqHJt","Durham, NC",,
972280260917104643,"RT @MicrobiomDigest: Bacteria-hunting virus fished from Connecticut lake treats infected doctor
#phages
https://t.co/j1WqmjqHJt","Boston, MA",,
972275786647515136,"Contagious infection are the typewrite of disarray caused next to discrepant body tendering see much as bacterium,? https://t.co/2LqdetIrpi","Sacramento, California",,
972263992923230208,RT @LarryLLapin: #IARTG #SFRTG #ITRTG Adam?s engineers a super virus so soft-tissue cells split without error &amp; most of his body stays youn?,"Muskegon, MI",,
972259678649573376,RT @LarryLLapin: #IARTG #SFRTG #ITRTG Adam?s engineers a super virus so soft-tissue cells split without error &amp; most of his body stays youn?,"Pennsylvania, USA",,
972259573632397312,#IARTG #SFRTG #ITRTG Adam?s engineers a super virus so soft-tissue cells split without error &amp; most of his body sta? https://t.co/nFUKmffXru,"Lincoln, CA",,
972258368965443585,A Pond-Dwelling Virus Just Cured a Man?s Antibiotic-Resistant Infection https://t.co/OMA84EZhIu,"San Francisco, CA",,
972255195076931584,I liked a @YouTube video https://t.co/eGnP1HsUJY Windows DeFender Windows 10 review - Free Virus Protection 2017,"Sacramento, CA",,
972254627662987264,RT @advlightsource: Antigen study supports new approach to vaccine for respiratory syncytial virus (crystallography done in part at ALS Bea?,"Berkeley, CA",,
972244634180210690,"RT @MicrobiomDigest: Bacteria-hunting virus fished from Connecticut lake treats infected doctor
#phages
https://t.co/j1WqmjqHJt","Pennsylvania, USA",,
972242988729446401,RT @PLOSPathogens: New Research: Lung macrophage scavenger receptor SR-A6 (MARCO) is an adenovirus type-specific virus entry receptor https?,"New York, USA",,
972236573935882241,"Antigen study supports new approach to vaccine for respiratory syncytial virus.

https://t.co/qcMudZkNZg","Santa Cruz, CA",,
972233911785811968,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?",,,
972232940993286144,"RT @MicrobiomDigest: Bacteria-hunting virus fished from Connecticut lake treats infected doctor
#phages
https://t.co/j1WqmjqHJt","Hampshire, UK",,
972229262798241793,RT @MVCAC1: Mosquitoes Spreading Zika Virus in Parts of U.S.: CDC https://t.co/Ul0n1jgtKs #Zika #FIGHTtheBITE #MosquitoControl,"Adelaide, South Australia",,
972228608725938176,@marynmck @chngin_the_wrld @phagedirectory @JessicaSacher @SafeFoodCanuck @Phage4Lyfe This one just came out: https://t.co/wmhud120iv,"Berkeley, CA",,
972228393004621824,Phage the new penicillin? https://t.co/GXHu4mV50J,San Francisco,,
972225766002802688,New Research: Lung macrophage scavenger receptor SR-A6 (MARCO) is an adenovirus type-specific virus entry receptor https://t.co/HWiiUyCRP9,"San Francisco, CA",,
972223181695143936,Antigen study supports new approach to vaccine for respiratory syncytial virus - Medical researchers have been tryi? https://t.co/NJevbfUJMm,"Los Altos, CA",,
972218952716763136,@firstfridayfunk @DuckDraw An expensive virus,"Salinas, CA",,
972216610046992384,RT @renofish: UC San Diego School of Medicine: Hep C drug found to block transmission of Zika virus to mouse fetuses. https://t.co/TyYC7xod?,America,,
972215983736868864,"RT @MicrobiomDigest: Bacteria-hunting virus fished from Connecticut lake treats infected doctor
#phages
https://t.co/j1WqmjqHJt","Ottawa, Ontario",,
972214230387630080,"@fergus1281 @Shawnrgreen74 @DrGaellon @JaclynCorin Have you heard of ""population control?"" From 2009 to 2017 our go? https://t.co/uUxBoIi6t2",San Jose,,
972213744812965888,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?",San Francisco,,
972210779444404225,"RT @GileadSciences: ?We need to consider the whole person, not just the virus and the treatment.? ? Insight from Dr. Sharon Walmsley on Int?","Charlotte,North Carolina USA",,
972205011261259776,A Pond-Dwelling Virus ...Antibiotic-Resistant Infection Good News https://t.co/pHsLO4SCZh via @Futurism,"Berkeley, CA",,
972198102517080064,Antigen study supports new approach to vaccine for respiratory syncytial virus https://t.co/rkqaBo47IB,"San Francisco, CA",,
